x1,x2,y_distd_wn
14.5623,686.702,0.959163
14.481,690.56,0.959794
14.4005,694.418,0.960436
14.321,698.276,0.961102
14.2423,702.133,0.961771
14.1645,705.991,0.96246
14.0875,709.849,0.963143
14.0113,713.707,0.963829
13.936,717.565,0.964528
13.8615,721.423,0.965265
13.7878,725.281,0.966039
13.7148,729.139,0.966838
13.6426,732.996,0.967651
13.5712,736.854,0.968476
13.5005,740.712,0.969304
13.4306,744.57,0.970144
13.3613,748.428,0.971004
13.2928,752.286,0.971873
13.225,756.144,0.972755
13.1579,760.001,0.973628
13.0914,763.859,0.974483
13.0256,767.717,0.975321
12.9605,771.575,0.976145
12.896,775.433,0.976951
12.8322,779.291,0.977748
12.769,783.149,0.978539
12.7064,787.006,0.979331
12.6444,790.864,0.980124
12.583,794.722,0.980921
12.5222,798.58,0.98172
12.462,802.438,0.982524
12.4024,806.296,0.983328
12.3433,810.154,0.984135
12.2848,814.012,0.984925
12.2269,817.869,0.985691
12.1695,821.727,0.986433
12.1126,825.585,0.987139
12.0563,829.443,0.987814
12.0005,833.301,0.988435
11.9452,837.159,0.989008
11.8904,841.017,0.989537
11.8361,844.874,0.990012
11.7823,848.732,0.990434
11.729,852.59,0.990818
11.6761,856.448,0.991163
11.6238,860.306,0.991468
11.5719,864.164,0.991731
11.5204,868.022,0.991968
11.4695,871.879,0.992177
11.4189,875.737,0.992354
11.3689,879.595,0.992513
11.3192,883.453,0.992642
11.27,887.311,0.99275
11.2212,891.169,0.992838
11.1728,895.027,0.992897
11.1249,898.885,0.992937
11.0773,902.742,0.992951
11.0302,906.6,0.99295
10.9835,910.458,0.992923
10.9371,914.316,0.992887
10.8912,918.174,0.992831
10.8456,922.032,0.992768
10.8004,925.89,0.99269
10.7556,929.747,0.992601
10.7112,933.605,0.992502
10.6671,937.463,0.992397
10.6234,941.321,0.99228
10.58,945.179,0.99216
10.537,949.037,0.992031
10.4943,952.895,0.9919
10.452,956.752,0.991752
10.41,960.61,0.991605
10.3684,964.468,0.991453
10.3271,968.326,0.991288
10.2861,972.184,0.991124
10.2455,976.042,0.990954
10.2051,979.9,0.990783
10.1651,983.758,0.990603
10.1254,987.615,0.990424
10.086,991.473,0.990237
10.0469,995.331,0.990044
10.0081,999.189,0.98985
9.96962,1003.05,0.989667
9.93142,1006.9,0.989494
9.89352,1010.76,0.989333
9.8559,1014.62,0.98919
9.81857,1018.48,0.989053
9.78152,1022.34,0.988931
9.74474,1026.19,0.988926
9.70825,1030.05,0.988984
9.67202,1033.91,0.989057
9.63607,1037.77,0.989088
9.60038,1041.62,0.989029
9.56495,1045.48,0.988838
9.52979,1049.34,0.988557
9.49488,1053.2,0.988238
9.46023,1057.06,0.987926
9.42583,1060.91,0.987675
9.39167,1064.77,0.987509
9.35777,1068.63,0.98739
9.32411,1072.49,0.987272
9.29069,1076.35,0.987155
9.25751,1080.2,0.987051
9.22456,1084.06,0.986943
9.19185,1087.92,0.986844
9.15937,1091.78,0.986748
9.12712,1095.63,0.986649
9.0951,1099.49,0.986555
9.06329,1103.35,0.986459
9.03172,1107.21,0.986363
9.00036,1111.07,0.986271
8.96921,1114.92,0.986176
8.93828,1118.78,0.986073
8.90757,1122.64,0.985981
8.87706,1126.5,0.98588
8.84677,1130.36,0.985789
8.81667,1134.21,0.985698
8.78679,1138.07,0.985616
8.7571,1141.93,0.985532
8.72762,1145.79,0.985451
8.69833,1149.64,0.985375
8.66924,1153.5,0.985302
8.64034,1157.36,0.985221
8.61164,1161.22,0.985147
8.58312,1165.08,0.985069
8.55479,1168.93,0.984993
8.52665,1172.79,0.984909
8.4987,1176.65,0.984835
8.47092,1180.51,0.984757
8.44333,1184.37,0.984679
8.41592,1188.22,0.984609
8.38868,1192.08,0.984541
8.36162,1195.94,0.984473
8.33474,1199.8,0.984409
8.30802,1203.65,0.98435
8.28148,1207.51,0.984293
8.2551,1211.37,0.984229
8.2289,1215.23,0.984171
8.20286,1219.09,0.984115
8.17698,1222.94,0.984053
8.15127,1226.8,0.983997
8.12571,1230.66,0.983941
8.10032,1234.52,0.98388
8.07509,1238.38,0.983819
8.05001,1242.23,0.983764
8.02509,1246.09,0.983701
8.00032,1249.95,0.983641
7.9757,1253.81,0.983568
7.95124,1257.66,0.983502
7.92692,1261.52,0.98343
7.90275,1265.38,0.983358
7.87873,1269.24,0.983286
7.85486,1273.1,0.983224
7.83113,1276.95,0.983153
7.80754,1280.81,0.983082
7.78409,1284.67,0.983019
7.76079,1288.53,0.982981
7.73762,1292.39,0.982944
7.71459,1296.24,0.982899
7.6917,1300.1,0.982849
7.66894,1303.96,0.982785
7.64632,1307.82,0.982718
7.62383,1311.68,0.982643
7.60148,1315.53,0.982582
7.57925,1319.39,0.982538
7.55715,1323.25,0.982494
7.53518,1327.11,0.982459
7.51334,1330.96,0.982412
7.49163,1334.82,0.982358
7.47004,1338.68,0.982299
7.44857,1342.54,0.982228
7.42723,1346.4,0.982161
7.40601,1350.25,0.982104
7.38491,1354.11,0.982052
7.36393,1357.97,0.982015
7.34307,1361.83,0.981975
7.32233,1365.69,0.981934
7.3017,1369.54,0.981893
7.28119,1373.4,0.981843
7.26079,1377.26,0.981772
7.24051,1381.12,0.981711
7.22034,1384.97,0.98165
7.20029,1388.83,0.98159
7.18034,1392.69,0.98155
7.16051,1396.55,0.98151
7.14078,1400.41,0.981471
7.12116,1404.26,0.981431
7.10165,1408.12,0.981393
7.08225,1411.98,0.981345
7.06295,1415.84,0.981288
7.04376,1419.7,0.98123
7.02467,1423.55,0.981166
7.00569,1427.41,0.981099
6.9868,1431.27,0.981033
6.96802,1435.13,0.980961
6.94934,1438.98,0.980881
6.93076,1442.84,0.980797
6.91228,1446.7,0.980718
6.89389,1450.56,0.98065
6.87561,1454.42,0.980598
6.85742,1458.27,0.980553
6.83932,1462.13,0.980506
6.82133,1465.99,0.980443
6.80342,1469.85,0.980372
6.78561,1473.71,0.980287
6.76789,1477.56,0.980192
6.75027,1481.42,0.980094
6.73274,1485.28,0.980002
6.71529,1489.14,0.979912
6.69794,1492.99,0.979818
6.68068,1496.85,0.979724
6.66351,1500.71,0.979629
6.64642,1504.57,0.979542
6.62942,1508.43,0.979445
6.61251,1512.28,0.979347
6.59568,1516.14,0.979255
6.57894,1520.0,0.979163
6.56229,1523.86,0.97907
6.54572,1527.72,0.978973
6.52923,1531.57,0.97888
6.51282,1535.43,0.978786
6.4965,1539.29,0.978684
6.48026,1543.15,0.978571
6.4641,1547.0,0.978424
6.44802,1550.86,0.978272
6.43202,1554.72,0.978113
6.4161,1558.58,0.977946
6.40026,1562.44,0.977773
6.38449,1566.29,0.977596
6.36881,1570.15,0.977413
6.3532,1574.01,0.977219
6.33766,1577.87,0.977012
6.3222,1581.73,0.976796
6.30682,1585.58,0.976577
6.29151,1589.44,0.976334
6.27628,1593.3,0.976067
6.26112,1597.16,0.975787
6.24603,1601.01,0.975521
6.23102,1604.87,0.975296
6.21608,1608.73,0.975128
6.20121,1612.59,0.975046
6.18641,1616.45,0.975176
6.17168,1620.3,0.975474
6.15702,1624.16,0.975908
6.14243,1628.02,0.97644
6.12791,1631.88,0.97699
6.11345,1635.74,0.977508
6.09907,1639.59,0.977993
6.08475,1643.45,0.978549
6.0705,1647.31,0.979295
6.05632,1651.17,0.980172
6.0422,1655.02,0.981155
6.02815,1658.88,0.982173
6.01416,1662.74,0.983162
6.00024,1666.6,0.98411
5.98638,1670.46,0.984875
5.97259,1674.31,0.985538
5.95886,1678.17,0.986098
5.94519,1682.03,0.986498
5.93159,1685.89,0.986795
5.91805,1689.75,0.986999
5.90457,1693.6,0.987052
5.89115,1697.46,0.987038
5.87779,1701.32,0.986986
5.86449,1705.18,0.986913
5.85125,1709.03,0.986827
5.83807,1712.89,0.986732
5.82495,1716.75,0.986614
5.81189,1720.61,0.986488
5.79889,1724.47,0.986356
5.78595,1728.32,0.986208
5.77306,1732.18,0.986053
5.76023,1736.04,0.985892
5.74746,1739.9,0.985732
5.73474,1743.76,0.985566
5.72208,1747.61,0.985396
5.70948,1751.47,0.985231
5.69693,1755.33,0.985068
5.68444,1759.19,0.984913
5.672,1763.05,0.984765
5.65962,1766.9,0.984623
5.64729,1770.76,0.984488
5.63501,1774.62,0.984358
5.62279,1778.48,0.984236
5.61062,1782.33,0.984115
5.5985,1786.19,0.983994
5.58643,1790.05,0.983881
5.57442,1793.91,0.983769
5.56246,1797.77,0.98366
5.55054,1801.62,0.983553
5.53868,1805.48,0.983448
5.52687,1809.34,0.983353
5.51512,1813.2,0.983261
5.50341,1817.06,0.983174
5.49175,1820.91,0.983091
5.48014,1824.77,0.983011
5.46857,1828.63,0.982936
5.45706,1832.49,0.982859
5.4456,1836.34,0.982779
5.43418,1840.2,0.982699
5.42281,1844.06,0.982619
5.41149,1847.92,0.98254
5.40022,1851.78,0.98246
5.38899,1855.63,0.982382
5.37781,1859.49,0.982303
5.36668,1863.35,0.982219
5.35559,1867.21,0.982138
5.34455,1871.07,0.98206
5.33355,1874.92,0.981984
5.3226,1878.78,0.981908
5.31169,1882.64,0.981835
5.30083,1886.5,0.981764
5.29001,1890.35,0.981704
5.27924,1894.21,0.981645
5.2685,1898.07,0.981592
5.25782,1901.93,0.981538
5.24717,1905.79,0.981485
5.23657,1909.64,0.981432
5.22602,1913.5,0.981379
5.2155,1917.36,0.981327
5.20503,1921.22,0.981274
5.1946,1925.08,0.981222
5.18421,1928.93,0.981171
5.17386,1932.79,0.981116
5.16355,1936.65,0.981058
5.15329,1940.51,0.981002
5.14306,1944.36,0.980946
5.13288,1948.22,0.98089
5.12274,1952.08,0.980835
5.11263,1955.94,0.98079
5.10257,1959.8,0.980749
5.09254,1963.65,0.98071
5.08256,1967.51,0.98067
5.07261,1971.37,0.980638
5.0627,1975.23,0.980607
5.05284,1979.09,0.980578
5.043,1982.94,0.980549
5.03321,1986.8,0.980519
5.02346,1990.66,0.98049
5.01374,1994.52,0.980461
5.00406,1998.37,0.980432
4.99442,2002.23,0.980403
4.98482,2006.09,0.980374
4.97525,2009.95,0.980345
4.96572,2013.81,0.980317
4.95622,2017.66,0.980286
4.94676,2021.52,0.980253
4.93734,2025.38,0.980221
4.92796,2029.24,0.980193
4.9186,2033.1,0.980165
4.90929,2036.95,0.980132
4.90001,2040.81,0.9801
4.89076,2044.67,0.980072
4.88155,2048.53,0.980044
4.87238,2052.38,0.980017
4.86324,2056.24,0.979989
4.85413,2060.1,0.979968
4.84506,2063.96,0.97995
4.83602,2067.82,0.979932
4.82701,2071.67,0.979914
4.81804,2075.53,0.979899
4.8091,2079.39,0.979894
4.80019,2083.25,0.97989
4.79132,2087.11,0.97989
4.78248,2090.96,0.97989
4.77367,2094.82,0.97989
4.7649,2098.68,0.97989
4.75616,2102.54,0.97989
4.74744,2106.39,0.97989
4.73877,2110.25,0.97989
4.73012,2114.11,0.97989
4.7215,2117.97,0.97989
4.71292,2121.83,0.97989
4.70436,2125.68,0.97989
4.69584,2129.54,0.97989
4.68735,2133.4,0.97989
4.67889,2137.26,0.97989
4.67046,2141.12,0.97989
4.66206,2144.97,0.97989
4.65369,2148.83,0.97989
4.64535,2152.69,0.97989
4.63704,2156.55,0.97989
4.62876,2160.41,0.97989
4.62051,2164.26,0.97989
4.61229,2168.12,0.97989
4.60409,2171.98,0.97989
4.59593,2175.84,0.979888
4.5878,2179.69,0.979884
4.57969,2183.55,0.979879
4.57161,2187.41,0.979863
4.56356,2191.27,0.979847
4.55554,2195.13,0.979828
4.54755,2198.98,0.979809
4.53959,2202.84,0.979789
4.53165,2206.7,0.979769
4.52374,2210.56,0.979749
4.51586,2214.42,0.979729
4.50801,2218.27,0.97971
4.50018,2222.13,0.97969
4.49238,2225.99,0.979675
4.48461,2229.85,0.979659
4.47686,2233.7,0.979645
4.46915,2237.56,0.979633
4.46145,2241.42,0.979622
4.45379,2245.28,0.979607
4.44615,2249.14,0.979592
4.43854,2252.99,0.979577
4.43095,2256.85,0.979562
4.42339,2260.71,0.979547
4.41585,2264.57,0.979529
4.40834,2268.43,0.979511
4.40086,2272.28,0.979492
4.3934,2276.14,0.97947
4.38596,2280.0,0.979448
4.37856,2283.86,0.979424
4.37117,2287.71,0.979394
4.36381,2291.57,0.979365
4.35648,2295.43,0.979333
4.34917,2299.29,0.979301
4.34188,2303.15,0.979268
4.33462,2307.0,0.979233
4.32739,2310.86,0.979197
4.32017,2314.72,0.979161
4.31299,2318.58,0.979132
4.30582,2322.44,0.979103
4.29868,2326.29,0.979073
4.29156,2330.15,0.979041
4.28447,2334.01,0.97901
4.2774,2337.87,0.978979
4.27035,2341.72,0.978951
4.26333,2345.58,0.978923
4.25633,2349.44,0.978895
4.24935,2353.3,0.978867
4.2424,2357.16,0.978839
4.23547,2361.01,0.978809
4.22856,2364.87,0.978778
4.22167,2368.73,0.978747
4.2148,2372.59,0.978719
4.20796,2376.45,0.978691
4.20114,2380.3,0.978664
4.19434,2384.16,0.978634
4.18757,2388.02,0.978604
4.18081,2391.88,0.978573
4.17408,2395.73,0.978546
4.16737,2399.59,0.978519
4.16068,2403.45,0.978492
4.15401,2407.31,0.978463
4.14737,2411.17,0.978433
4.14074,2415.02,0.978403
4.13414,2418.88,0.978376
4.12756,2422.74,0.97835
4.12099,2426.6,0.978323
4.11445,2430.46,0.978294
4.10793,2434.31,0.978265
4.10143,2438.17,0.978236
4.09495,2442.03,0.978207
4.08849,2445.89,0.978178
4.08206,2449.74,0.978149
4.07564,2453.6,0.978118
4.06924,2457.46,0.978086
4.06286,2461.32,0.978054
4.0565,2465.18,0.97802
4.05016,2469.03,0.977985
4.04385,2472.89,0.977951
4.03755,2476.75,0.977915
4.03127,2480.61,0.977877
4.02501,2484.47,0.977839
4.01877,2488.32,0.977803
4.01255,2492.18,0.977769
4.00634,2496.04,0.977735
4.00016,2499.9,0.977701
3.994,2503.75,0.977661
3.98785,2507.61,0.977621
3.98173,2511.47,0.977581
3.97562,2515.33,0.977543
3.96953,2519.19,0.977507
3.96346,2523.04,0.97747
3.95741,2526.9,0.977433
3.95138,2530.76,0.977393
3.94537,2534.62,0.977354
3.93937,2538.48,0.977315
3.93339,2542.33,0.977273
3.92743,2546.19,0.977232
3.92149,2550.05,0.97719
3.91557,2553.91,0.977149
3.90966,2557.77,0.977108
3.90377,2561.62,0.977066
3.8979,2565.48,0.977026
3.89205,2569.34,0.976988
3.88621,2573.2,0.97695
3.8804,2577.05,0.976912
3.8746,2580.91,0.976872
3.86881,2584.77,0.976831
3.86305,2588.63,0.976791
3.8573,2592.49,0.976749
3.85157,2596.34,0.976706
3.84585,2600.2,0.976663
3.84016,2604.06,0.97662
3.83448,2607.92,0.976575
3.82881,2611.78,0.97653
3.82316,2615.63,0.976485
3.81753,2619.49,0.976438
3.81192,2623.35,0.976387
3.80632,2627.21,0.976336
3.80074,2631.06,0.976286
3.79518,2634.92,0.976231
3.78963,2638.78,0.976176
3.7841,2642.64,0.976121
3.77858,2646.5,0.976064
3.77308,2650.35,0.976004
3.76759,2654.21,0.975943
3.76213,2658.07,0.975882
3.75667,2661.93,0.975822
3.75124,2665.79,0.975762
3.74582,2669.64,0.975703
3.74041,2673.5,0.975643
3.73502,2677.36,0.975579
3.72965,2681.22,0.975515
3.72429,2685.07,0.97545
3.71895,2688.93,0.975387
3.71362,2692.79,0.975326
3.7083,2696.65,0.975265
3.70301,2700.51,0.975204
3.69772,2704.36,0.975142
3.69246,2708.22,0.975079
3.68721,2712.08,0.975016
3.68197,2715.94,0.974952
3.67674,2719.8,0.97489
3.67154,2723.65,0.974827
3.66634,2727.51,0.974765
3.66117,2731.37,0.974703
