x1,x2,y_oakface
14.5588,686.869,0.973462
14.4775,690.728,0.974855
14.397,694.587,0.975169
14.3175,698.445,0.974131
14.2388,702.304,0.975639
14.161,706.163,0.972621
14.0841,710.022,0.973456
14.0079,713.881,0.973051
13.9326,717.739,0.97368
13.8581,721.598,0.972855
13.7844,725.457,0.972774
13.7115,729.316,0.971533
13.6393,733.175,0.974574
13.5679,737.033,0.97245
13.4972,740.892,0.972386
13.4273,744.751,0.971772
13.3581,748.61,0.973089
13.2896,752.469,0.973007
13.2218,756.328,0.974443
13.1547,760.186,0.973797
13.0882,764.045,0.973485
13.0224,767.904,0.972467
12.9573,771.763,0.973287
12.8929,775.622,0.972859
12.829,779.48,0.972507
12.7658,783.339,0.972709
12.7033,787.198,0.973772
12.6413,791.057,0.972811
12.5799,794.916,0.973585
12.5192,798.775,0.971984
12.459,802.633,0.971336
12.3994,806.492,0.972397
12.3403,810.351,0.972732
12.2818,814.21,0.97264
12.2239,818.069,0.973268
12.1665,821.927,0.973608
12.1097,825.786,0.972599
12.0533,829.645,0.973077
11.9975,833.504,0.97371
11.9422,837.363,0.973285
11.8875,841.222,0.973886
11.8332,845.08,0.973044
11.7794,848.939,0.972463
11.7261,852.798,0.973912
11.6733,856.657,0.972207
11.6209,860.516,0.971471
11.569,864.374,0.971999
11.5176,868.233,0.971442
11.4667,872.092,0.971349
11.4162,875.951,0.971828
11.3661,879.81,0.971932
11.3164,883.669,0.971775
11.2672,887.527,0.971999
11.2185,891.386,0.969844
11.1701,895.245,0.971442
11.1222,899.104,0.971239
11.0746,902.963,0.970062
11.0275,906.821,0.97112
10.9808,910.68,0.97105
10.9345,914.539,0.970254
10.8885,918.398,0.969793
10.843,922.257,0.969712
10.7978,926.115,0.969914
10.753,929.974,0.969599
10.7085,933.833,0.968712
10.6645,937.692,0.969534
10.6208,941.551,0.969483
10.5774,945.41,0.9693
10.5344,949.268,0.969541
10.4918,953.127,0.969977
10.4495,956.986,0.968599
10.4075,960.845,0.96931
10.3659,964.704,0.968906
10.3246,968.562,0.969784
10.2836,972.421,0.969261
10.243,976.28,0.968458
10.2026,980.139,0.968762
10.1626,983.998,0.968923
10.1229,987.857,0.969553
10.0835,991.715,0.969181
10.0444,995.574,0.969215
10.0057,999.433,0.968534
9.96719,1003.29,0.967863
9.929,1007.15,0.967902
9.8911,1011.01,0.967668
9.85349,1014.87,0.967595
9.81617,1018.73,0.968954
9.77913,1022.58,0.968536
9.74236,1026.44,0.968123
9.70588,1030.3,0.968188
9.66966,1034.16,0.968544
9.63371,1038.02,0.968471
9.59803,1041.88,0.968511
9.56262,1045.74,0.96836
9.52746,1049.6,0.969839
9.49256,1053.46,0.969632
9.45792,1057.31,0.969099
9.42352,1061.17,0.968257
9.38938,1065.03,0.969471
9.35548,1068.89,0.969257
9.32183,1072.75,0.969147
9.28842,1076.61,0.967822
9.25525,1080.47,0.969736
9.22231,1084.33,0.96842
9.18961,1088.18,0.970374
9.15713,1092.04,0.969436
9.12489,1095.9,0.968964
9.09287,1099.76,0.97054
9.06108,1103.62,0.970803
9.02951,1107.48,0.971794
8.99816,1111.34,0.969176
8.96702,1115.2,0.970435
8.9361,1119.06,0.969835
8.90539,1122.91,0.970427
8.87489,1126.77,0.970601
8.8446,1130.63,0.970455
8.81452,1134.49,0.9704
8.78464,1138.35,0.969276
8.75496,1142.21,0.970112
8.72548,1146.07,0.970027
8.6962,1149.93,0.970134
8.66712,1153.78,0.969754
8.63823,1157.64,0.970681
8.60953,1161.5,0.970657
8.58102,1165.36,0.971145
8.5527,1169.22,0.970899
8.52457,1173.08,0.972443
8.49662,1176.94,0.971583
8.46885,1180.8,0.97179
8.44127,1184.66,0.974357
8.41386,1188.51,0.973811
8.38663,1192.37,0.975482
8.35958,1196.23,0.974236
8.3327,1200.09,0.975226
8.30599,1203.95,0.973934
8.27945,1207.81,0.97553
8.25309,1211.67,0.97508
8.22688,1215.53,0.97599
8.20085,1219.38,0.975455
8.17498,1223.24,0.975776
8.14927,1227.1,0.976409
8.12373,1230.96,0.976588
8.09834,1234.82,0.977328
8.07311,1238.68,0.977109
8.04804,1242.54,0.977911
8.02312,1246.4,0.977183
7.99836,1250.26,0.977644
7.97375,1254.11,0.977224
7.94929,1257.97,0.9778
7.92498,1261.83,0.977431
7.90082,1265.69,0.978464
7.8768,1269.55,0.977308
7.85294,1273.41,0.978175
7.82921,1277.27,0.978299
7.80563,1281.13,0.978009
7.78219,1284.98,0.976215
7.75889,1288.84,0.976841
7.73573,1292.7,0.97762
7.7127,1296.56,0.978012
7.68982,1300.42,0.977155
7.66707,1304.28,0.976786
7.64445,1308.14,0.975506
7.62197,1312.0,0.976138
7.59961,1315.86,0.975277
7.57739,1319.71,0.976193
7.5553,1323.57,0.976294
7.53334,1327.43,0.975801
7.5115,1331.29,0.975509
7.48979,1335.15,0.97453
7.46821,1339.01,0.973801
7.44675,1342.87,0.975263
7.42541,1346.73,0.975756
7.4042,1350.58,0.976895
7.3831,1354.44,0.97627
7.36213,1358.3,0.974674
7.34127,1362.16,0.975464
7.32053,1366.02,0.975982
7.29991,1369.88,0.974737
7.27941,1373.74,0.975406
7.25902,1377.6,0.975387
7.23874,1381.45,0.977616
7.21858,1385.31,0.9763
7.19852,1389.17,0.976411
7.17858,1393.03,0.975286
7.15875,1396.89,0.975785
7.13903,1400.75,0.975374
7.11942,1404.61,0.974489
7.09991,1408.47,0.975481
7.08052,1412.33,0.97344
7.06122,1416.18,0.973779
7.04203,1420.04,0.971336
7.02295,1423.9,0.971378
7.00397,1427.76,0.974149
6.98509,1431.62,0.973888
6.96631,1435.48,0.975868
6.94764,1439.34,0.975837
6.92906,1443.2,0.974972
6.91058,1447.05,0.973255
6.8922,1450.91,0.973399
6.87392,1454.77,0.973412
6.85574,1458.63,0.972703
6.83765,1462.49,0.972086
6.81965,1466.35,0.973708
6.80175,1470.21,0.971855
6.78395,1474.07,0.97182
6.76624,1477.93,0.973124
6.74862,1481.78,0.975716
6.73109,1485.64,0.975074
6.71365,1489.5,0.97102
6.6963,1493.36,0.973916
6.67904,1497.22,0.97355
6.66187,1501.08,0.973934
6.64479,1504.94,0.969945
6.6278,1508.8,0.9732
6.61089,1512.65,0.974855
6.59407,1516.51,0.972111
6.57733,1520.37,0.969287
6.56068,1524.23,0.970387
6.54411,1528.09,0.971949
6.52763,1531.95,0.972068
6.51123,1535.81,0.969213
6.49491,1539.67,0.96509
6.47867,1543.53,0.971872
6.46251,1547.38,0.975319
6.44644,1551.24,0.973038
6.43044,1555.1,0.972906
6.41453,1558.96,0.965412
6.39869,1562.82,0.970742
6.38293,1566.68,0.970432
6.36724,1570.54,0.969584
6.35164,1574.4,0.969099
6.33611,1578.25,0.970461
6.32065,1582.11,0.971653
6.30528,1585.97,0.971965
6.28997,1589.83,0.971475
6.27474,1593.69,0.972812
6.25959,1597.55,0.974827
6.2445,1601.41,0.974083
6.22949,1605.27,0.971485
6.21455,1609.13,0.971776
6.19969,1612.98,0.971371
6.18489,1616.84,0.970607
6.17016,1620.7,0.971483
6.15551,1624.56,0.97422
6.14092,1628.42,0.974667
6.1264,1632.28,0.974234
6.11195,1636.14,0.97186
6.09757,1640.0,0.972317
6.08326,1643.85,0.971345
6.06901,1647.71,0.973216
6.05483,1651.57,0.968075
6.04072,1655.43,0.973178
6.02667,1659.29,0.974908
6.01269,1663.15,0.973744
5.99877,1667.01,0.973303
5.98492,1670.87,0.973188
5.97113,1674.72,0.973639
5.9574,1678.58,0.974834
5.94373,1682.44,0.972996
5.93013,1686.3,0.973298
5.91659,1690.16,0.97452
5.90312,1694.02,0.974393
5.8897,1697.88,0.972231
5.87635,1701.74,0.975053
5.86305,1705.6,0.976645
5.84982,1709.45,0.975945
5.83664,1713.31,0.976264
5.82352,1717.17,0.976316
5.81047,1721.03,0.978237
5.79747,1724.89,0.980382
5.78453,1728.75,0.978795
5.77164,1732.61,0.975611
5.75882,1736.47,0.977039
5.74605,1740.32,0.979439
5.73334,1744.18,0.977804
5.72068,1748.04,0.974722
5.70808,1751.9,0.977957
5.69553,1755.76,0.979048
5.68304,1759.62,0.975187
5.67061,1763.48,0.978763
5.65823,1767.34,0.973234
5.6459,1771.2,0.973394
5.63363,1775.05,0.972099
5.62141,1778.91,0.973214
5.60924,1782.77,0.970684
5.59712,1786.63,0.970549
5.58506,1790.49,0.970227
5.57305,1794.35,0.966149
5.56109,1798.21,0.96713
5.54918,1802.07,0.968909
5.53733,1805.92,0.968959
5.52552,1809.78,0.967796
5.51376,1813.64,0.967015
5.50206,1817.5,0.966266
5.4904,1821.36,0.965096
5.47879,1825.22,0.960535
5.46723,1829.08,0.961647
5.45572,1832.94,0.964479
5.44426,1836.8,0.964058
5.43285,1840.65,0.963593
5.42148,1844.51,0.958628
5.41016,1848.37,0.961384
5.39889,1852.23,0.962924
5.38767,1856.09,0.961575
5.37649,1859.95,0.960878
5.36536,1863.81,0.960941
5.35427,1867.67,0.957455
5.34323,1871.52,0.959177
5.33224,1875.38,0.960459
5.32129,1879.24,0.960695
5.31039,1883.1,0.960888
5.29953,1886.96,0.959833
5.28871,1890.82,0.95909
5.27794,1894.68,0.961107
5.26721,1898.54,0.961104
5.25653,1902.4,0.961635
5.24589,1906.25,0.960636
5.23529,1910.11,0.959089
5.22473,1913.97,0.959529
5.21422,1917.83,0.958854
5.20375,1921.69,0.96051
5.19332,1925.55,0.960156
5.18294,1929.41,0.960404
5.17259,1933.27,0.960493
5.16229,1937.12,0.961476
5.15202,1940.98,0.961088
5.1418,1944.84,0.960595
5.13162,1948.7,0.960544
5.12148,1952.56,0.96182
5.11138,1956.42,0.961682
5.10132,1960.28,0.96096
5.09129,1964.14,0.960857
5.08131,1967.99,0.962709
5.07137,1971.85,0.961355
5.06146,1975.71,0.9619
5.0516,1979.57,0.960359
5.04177,1983.43,0.962001
5.03198,1987.29,0.961578
5.02223,1991.15,0.962516
5.01251,1995.01,0.961753
5.00283,1998.87,0.961935
4.9932,2002.72,0.962088
4.98359,2006.58,0.962409
4.97403,2010.44,0.96158
4.9645,2014.3,0.961554
4.95501,2018.16,0.960993
4.94555,2022.02,0.962491
4.93613,2025.88,0.963167
4.92675,2029.74,0.961094
4.9174,2033.59,0.961983
4.90808,2037.45,0.966353
4.89881,2041.31,0.963522
4.88956,2045.17,0.96436
4.88035,2049.03,0.96422
4.87118,2052.89,0.965134
4.86204,2056.75,0.964883
4.85294,2060.61,0.96239
4.84387,2064.47,0.962516
4.83483,2068.32,0.963983
4.82583,2072.18,0.962836
4.81686,2076.04,0.963747
4.80792,2079.9,0.96342
4.79902,2083.76,0.962477
4.79014,2087.62,0.965048
4.78131,2091.48,0.964986
4.7725,2095.34,0.963714
4.76373,2099.19,0.964517
4.75499,2103.05,0.965402
4.74628,2106.91,0.96505
4.7376,2110.77,0.965056
4.72896,2114.63,0.963771
4.72034,2118.49,0.963802
4.71176,2122.35,0.965595
4.70321,2126.21,0.964787
4.69469,2130.07,0.964793
4.6862,2133.92,0.964659
4.67774,2137.78,0.963943
4.66931,2141.64,0.964866
4.66091,2145.5,0.965125
4.65255,2149.36,0.964229
4.64421,2153.22,0.965336
4.6359,2157.08,0.96491
4.62762,2160.94,0.962615
4.61937,2164.79,0.963061
4.61115,2168.65,0.963637
4.60296,2172.51,0.964431
4.5948,2176.37,0.961775
4.58667,2180.23,0.96397
4.57857,2184.09,0.962568
4.57049,2187.95,0.962815
4.56244,2191.81,0.961518
4.55443,2195.67,0.961546
4.54644,2199.52,0.961986
4.53847,2203.38,0.962096
4.53054,2207.24,0.962109
4.52263,2211.1,0.961516
4.51475,2214.96,0.961
4.5069,2218.82,0.961736
4.49908,2222.68,0.962606
4.49128,2226.54,0.961325
4.48351,2230.39,0.960415
4.47577,2234.25,0.959337
4.46805,2238.11,0.960361
4.46036,2241.97,0.96063
4.45269,2245.83,0.96099
4.44506,2249.69,0.962757
4.43745,2253.55,0.960112
4.42986,2257.41,0.961677
4.4223,2261.26,0.959294
4.41477,2265.12,0.959795
4.40726,2268.98,0.961191
4.39978,2272.84,0.960195
4.39232,2276.7,0.960742
4.38489,2280.56,0.958561
4.37748,2284.42,0.958461
4.3701,2288.28,0.959561
4.36274,2292.14,0.96
4.35541,2295.99,0.958082
4.3481,2299.85,0.960354
4.34082,2303.71,0.957776
4.33356,2307.57,0.9595
4.32632,2311.43,0.956363
4.31911,2315.29,0.959663
4.31193,2319.15,0.956309
4.30476,2323.01,0.957973
4.29763,2326.86,0.959094
4.29051,2330.72,0.960375
4.28342,2334.58,0.962535
4.27635,2338.44,0.969824
4.2693,2342.3,0.957686
4.26228,2346.16,0.962232
4.25528,2350.02,0.961689
4.24831,2353.88,0.958791
4.24136,2357.74,0.959405
4.23443,2361.59,0.960743
4.22752,2365.45,0.959557
4.22063,2369.31,0.961406
4.21377,2373.17,0.957386
4.20693,2377.03,0.962072
4.20011,2380.89,0.963446
4.19331,2384.75,0.964325
4.18654,2388.61,0.961834
4.17979,2392.46,0.961336
4.17306,2396.32,0.957581
4.16635,2400.18,0.958789
4.15966,2404.04,0.959882
4.15299,2407.9,0.960089
4.14635,2411.76,0.96037
4.13973,2415.62,0.960699
4.13312,2419.48,0.960087
4.12654,2423.34,0.962456
4.11998,2427.19,0.963167
4.11344,2431.05,0.959923
4.10692,2434.91,0.962796
4.10042,2438.77,0.961566
4.09395,2442.63,0.963321
4.08749,2446.49,0.96412
4.08105,2450.35,0.96244
4.07464,2454.21,0.961091
4.06824,2458.06,0.963257
4.06186,2461.92,0.962079
4.05551,2465.78,0.961241
4.04917,2469.64,0.963316
4.04285,2473.5,0.962592
4.03655,2477.36,0.962553
4.03028,2481.22,0.962745
4.02402,2485.08,0.9636
4.01778,2488.94,0.963747
4.01156,2492.79,0.961516
4.00536,2496.65,0.9635
3.99918,2500.51,0.961688
3.99302,2504.37,0.961627
3.98687,2508.23,0.963096
3.98075,2512.09,0.965189
3.97464,2515.95,0.963577
3.96856,2519.81,0.962502
3.96249,2523.66,0.963964
3.95644,2527.52,0.964203
3.95041,2531.38,0.963365
3.9444,2535.24,0.962688
3.9384,2539.1,0.963692
3.93242,2542.96,0.965824
3.92647,2546.82,0.964617
3.92053,2550.68,0.965433
3.9146,2554.53,0.964964
3.9087,2558.39,0.96449
3.90281,2562.25,0.966904
3.89694,2566.11,0.9645
3.89109,2569.97,0.965815
3.88526,2573.83,0.965956
3.87944,2577.69,0.964323
3.87364,2581.55,0.962706
3.86786,2585.41,0.965416
3.8621,2589.26,0.967018
3.85635,2593.12,0.965602
3.85062,2596.98,0.962053
3.84491,2600.84,0.964456
3.83921,2604.7,0.963501
3.83353,2608.56,0.963603
3.82787,2612.42,0.96668
3.82222,2616.28,0.966004
3.8166,2620.13,0.96748
3.81098,2623.99,0.965273
3.80539,2627.85,0.96468
3.79981,2631.71,0.962331
3.79424,2635.57,0.963989
3.7887,2639.43,0.966297
3.78316,2643.29,0.966006
3.77765,2647.15,0.966312
3.77215,2651.01,0.964423
3.76667,2654.86,0.965551
3.7612,2658.72,0.965086
3.75575,2662.58,0.966822
3.75032,2666.44,0.97003
3.7449,2670.3,0.968802
3.73949,2674.16,0.966809
3.7341,2678.02,0.967743
3.72873,2681.88,0.966165
3.72337,2685.73,0.969265
3.71803,2689.59,0.969604
3.7127,2693.45,0.966011
3.70739,2697.31,0.966932
3.7021,2701.17,0.968713
3.69682,2705.03,0.966291
3.69155,2708.89,0.966608
3.6863,2712.75,0.966988
3.68106,2716.61,0.968742
3.67584,2720.46,0.968435
3.67063,2724.32,0.968696
3.66544,2728.18,0.965664
3.66027,2732.04,0.965892
3.6551,2735.9,0.964762
3.64995,2739.76,0.970371
3.64482,2743.62,0.968755
3.6397,2747.48,0.968412
3.6346,2751.33,0.966032
3.62951,2755.19,0.966555
3.62443,2759.05,0.969445
3.61937,2762.91,0.968175
3.61432,2766.77,0.968037
3.60929,2770.63,0.967473
3.60427,2774.49,0.966139
3.59926,2778.35,0.966928
3.59427,2782.21,0.967565
3.58929,2786.06,0.966072
3.58433,2789.92,0.963986
3.57938,2793.78,0.964189
3.57444,2797.64,0.9648
3.56952,2801.5,0.964335
3.56461,2805.36,0.965003
3.55971,2809.22,0.964721
3.55483,2813.08,0.965653
3.54996,2816.93,0.962679
3.5451,2820.79,0.964366
3.54026,2824.65,0.963088
3.53543,2828.51,0.961565
3.53061,2832.37,0.959184
3.52581,2836.23,0.956549
3.52102,2840.09,0.960361
3.51624,2843.95,0.958578
3.51147,2847.8,0.958326
3.50672,2851.66,0.961947
3.50198,2855.52,0.969908
3.49726,2859.38,0.965514
3.49254,2863.24,0.967737
3.48784,2867.1,0.967695
3.48316,2870.96,0.967292
3.47848,2874.82,0.968868
3.47382,2878.68,0.966577
3.46917,2882.53,0.963074
3.46453,2886.39,0.964687
3.4599,2890.25,0.960037
3.45529,2894.11,0.96212
3.45069,2897.97,0.962051
3.4461,2901.83,0.957925
3.44152,2905.69,0.955995
3.43696,2909.55,0.951861
3.43241,2913.4,0.949487
3.42787,2917.26,0.95146
3.42334,2921.12,0.963688
3.41882,2924.98,0.966722
3.41432,2928.84,0.969425
3.40983,2932.7,0.968711
3.40535,2936.56,0.973216
3.40088,2940.42,0.970301
3.39642,2944.28,0.974037
3.39197,2948.13,0.973836
3.38754,2951.99,0.968529
3.38312,2955.85,0.970869
3.37871,2959.71,0.97539
3.37431,2963.57,0.975956
3.36992,2967.43,0.975593
3.36554,2971.29,0.972172
3.36118,2975.15,0.97303
3.35682,2979.0,0.972608
3.35248,2982.86,0.972688
3.34815,2986.72,0.972659
3.34383,2990.58,0.973086
3.33952,2994.44,0.969277
3.33522,2998.3,0.972906
